Breast Reconstruction,Radiation Treatment: Consult,Nerve Block,CT scan: Chest,Arthorcentesis,Cardiovascular: Electrophysiology,X-ray: Abdomen/GI,Cardiovascular: Echocardiography,Hysterectomy,Cesarean Section with complications,Colonoscopy,CVC Insertion,Coronary Bypass,Lesion Removal,Radiation Treatment: Delivery,Radiation Treatment: Simulations & Film,Spinal injection,Nuclear Medicine: Musculoskeletal,CT scan: Spine,Mastectomy,X-ray: Chest,Cardiovascular: Catheterization,Carpal Tunnel,Cesarean Section without complications,X-ray: Spine,Blood Transfusion,Ultrasound,Tonsillectomy,X-ray: Head and Neck,Nuclear Medicine: Endocrine,MRI with contrast: Extremities,X-ray: Extremities,Spinal Fusion,MRI: Spine,Hysteroscopy,Spinal laminectomy,Mammography,Nuclear Medicine: GI,Chemotherapy: IV infusion,MRI with contrast: Spine,Central Line,MRI: Head and Neck,Radiation Treatment: Guidance,Radiation Treatment: Dosimetry,Radiation Treatment: Devices,CT scan with contrast: Abdomen/GI,Cataract,Radiation Treatment: IMRT,Spinal Tap,Nuclear Medicine: Cardiovascular,Gallbladder,CT scan: Head and Neck,Hip Replacement,Cardiovascular: Mobile Heart Monitoring,Upper Endoscopy,MRI: Extremities,Cystoscopy Lithotripsy,Hernia Repair,Bone Study,MRI with contrast: Abdomen/GI,Knee Arthroscopy,Thyroidectomy,Bowel Removal,CT scan with contrast: Head and Neck,CT scan: Abdomen/GI,Ultrasound: Obstetrical,Cardiovascular: Electrocardiography Stress Test,CT scan with contrast: Chest,PTCA,Chemotherapy: Injection,Newborn care without complications,Breast Biopsy,CT scan: Extremities,Newborn care with complications,ORIF,Abdominal Drainage,Cardiovascular: Electrocardiography,Knee Replacement,MRI with contrast: Head and Neck,Big Toe Surgery
,611.0,,,,,255.0,2078.0,,,2179.0,,,,591.0,858.0,,,,,290.0,,3483.0,,397.0,,573.0,,,,,149.0,,1929.0,,,291.0,,401.0,,,,,1116.0,1142.0,2575.0,,3348.0,,,11075.0,,,,2786.0,1491.0,15135.0,11997.0,356.0,,,,,1986.0,974.0,204.0,,990.0,,131.0,8569.0,,,,,,77.0,,2705.0,
,447.0,,468.0,931.0,,230.0,1595.0,15233.0,,2939.0,6704.0,,5572.0,744.0,694.0,1655.0,1384.0,468.0,13659.0,233.0,,4402.0,13876.0,299.0,,588.0,5434.0,,,,233.0,,1138.0,6397.0,,344.0,1388.0,,,,,,1214.0,1214.0,1447.0,,1934.0,,4613.0,10683.0,468.0,,379.0,3127.0,1138.0,12108.0,7904.0,400.0,,7304.0,,42290.0,986.0,840.0,452.0,813.0,986.0,,,10355.0,3864.0,,23361.0,,,231.0,34009.0,1891.0,
,,2887.0,1408.0,,,211.0,1635.0,,,3556.0,,,,,,,,,,241.0,,,,284.0,,532.0,,,,,241.0,,,,,319.0,,,,,,,,,3011.0,,,,,,1032.0,,1341.0,3554.0,,9389.0,6594.0,422.0,,6107.0,,,,2280.0,753.0,,,,,10378.0,3573.0,,,,,248.0,,,
,,,,,48813.0,186.0,1273.0,11985.0,15733.0,3437.0,,63294.0,3778.0,,,,,405.0,,186.0,10022.0,,11444.0,297.0,,416.0,6599.0,,,,186.0,36701.0,1019.0,,15174.0,301.0,1016.0,504.0,2633.0,48628.0,835.0,,,,1062.0,,,17129.0,3042.0,11131.0,433.0,,278.0,3672.0,835.0,,8465.0,185.0,,7315.0,12222.0,,1435.0,586.0,469.0,471.0,723.0,33526.0,376.0,2360.0,,570.0,10511.0,30091.0,,133.0,,1387.0,7315.0
,432.0,,496.0,,40627.0,230.0,1312.0,16018.0,23488.0,3394.0,,125304.0,,550.0,405.0,,1082.0,496.0,,257.0,7772.0,5694.0,18489.0,303.0,20022.0,517.0,6242.0,143.0,1085.0,,223.0,57891.0,1763.0,8212.0,16951.0,299.0,1238.0,331.0,,28054.0,,255.0,2567.0,456.0,1825.0,,1405.0,22504.0,3336.0,11353.0,496.0,38713.0,402.0,3612.0,1207.0,10314.0,12951.0,432.0,1856.0,6638.0,16109.0,38524.0,1045.0,835.0,314.0,486.0,1144.0,49811.0,127.0,9260.0,,496.0,4430.0,32983.0,760.0,208.0,36844.0,2004.0,
,817.0,,476.0,946.0,42101.0,226.0,1620.0,14337.0,20046.0,2926.0,7349.0,92792.0,,755.0,705.0,1588.0,1406.0,476.0,13875.0,236.0,10777.0,,13983.0,289.0,27253.0,536.0,,229.0,1406.0,,238.0,73396.0,1302.0,7257.0,14420.0,351.0,1406.0,,,28648.0,1156.0,,1970.0,1174.0,1470.0,,2137.0,25457.0,4570.0,11127.0,476.0,39156.0,385.0,3151.0,1156.0,,8472.0,422.0,1921.0,,16916.0,40578.0,1001.0,846.0,536.0,813.0,1001.0,43951.0,,3164.0,3621.0,476.0,11001.0,37345.0,1716.0,236.0,38755.0,1921.0,
,,,,,,,1980.0,17821.0,18021.0,2073.0,4173.0,93455.0,,,,,,,,189.0,13914.0,,12296.0,164.0,,443.0,,,,,189.0,62554.0,1873.0,8366.0,,,1843.0,,,,1354.0,,,,998.0,,,,4544.0,16490.0,461.0,32785.0,374.0,2746.0,970.0,,10661.0,,,9821.0,,40180.0,,714.0,,1433.0,818.0,39243.0,,2769.0,,,11193.0,,2844.0,229.0,32785.0,,9821.0
,,2201.0,342.0,,,166.0,1184.0,10415.0,,2341.0,,,,,,,947.0,,,143.0,,3920.0,,223.0,,432.0,,178.0,839.0,1065.0,166.0,,853.0,4692.0,,281.0,997.0,189.0,,,905.0,,,,1019.0,4911.0,,,1616.0,,171.0,,,2455.0,791.0,9602.0,6999.0,260.0,,6450.0,,,,748.0,357.0,,720.0,37926.0,154.0,9237.0,1730.0,354.0,,,,181.0,32593.0,1669.0,
,,,477.0,,,223.0,1273.0,14578.0,20090.0,3185.0,,,,,,,,,,257.0,,,16385.0,302.0,,468.0,6262.0,,,2567.0,225.0,,1158.0,7210.0,,307.0,1238.0,321.0,,,1160.0,,,,1475.0,4992.0,,,3186.0,12751.0,476.0,,680.0,3319.0,1158.0,9240.0,12075.0,426.0,,8058.0,,,1005.0,812.0,619.0,486.0,1002.0,,162.0,8843.0,,,4655.0,,,202.0,,1927.0,
,328.0,,343.0,,,186.0,1273.0,12218.0,15733.0,2299.0,,,,593.0,168.0,,1016.0,,,186.0,,,11402.0,307.0,,371.0,,,,,186.0,,835.0,6541.0,,301.0,,,,,835.0,,985.0,891.0,1062.0,,1544.0,,,12218.0,324.0,,477.0,2822.0,835.0,10213.0,10442.0,307.0,1387.0,7315.0,,,,586.0,419.0,469.0,723.0,,,1888.0,3162.0,551.0,10666.0,,1474.0,171.0,22500.0,1387.0,6421.0
